model_type,seed,factor,mae,brier,auc,strict_compliance_auc,violation_auc
dynamic_replay_effect,0,TTC,0.19812412559986115,0.1010940819978714,0.9392072692267996,,
dynamic_replay_effect,0,Comfort,0.03300131857395172,0.014827876351773739,0.9987815798799606,,
dynamic_replay_effect,1,NC,0.1677522212266922,0.07795761525630951,0.9475406630869272,,
dynamic_replay_effect,1,DAC,0.1345749795436859,0.06993236392736435,0.9709371543009071,,
dynamic_replay_effect,1,DDC,0.18412387371063232,0.056400496512651443,,0.8499444284506061,0.849944428450606
dynamic_replay_effect,1,EP,0.11900285631418228,0.03210438787937164,,,
dynamic_replay_effect,1,TTC,0.2060651183128357,0.10755850374698639,0.9343092741937393,,
dynamic_replay_effect,1,Comfort,0.03285596892237663,0.014930812641978264,0.9982635574171517,,
dynamic_replay_effect,2,NC,0.11930195987224579,0.056432418525218964,0.9641477487243244,,
dynamic_replay_effect,2,DAC,0.09715429693460464,0.052424196153879166,0.9833976785029236,,
dynamic_replay_effect,2,DDC,0.1762707680463791,0.05354107543826103,,0.8723418636180896,0.8723418636180896
dynamic_replay_effect,2,EP,0.09685388952493668,0.027797771617770195,,,
dynamic_replay_effect,2,TTC,0.15469051897525787,0.08218628913164139,0.9575200120436804,,
dynamic_replay_effect,2,Comfort,0.022219548001885414,0.010914228856563568,0.9990463346374959,,
full_primitive_action_effect,0,NC,0.1723940074443817,0.08413507789373398,0.9456382309547743,,
full_primitive_action_effect,0,DAC,0.13424637913703918,0.06495373696088791,0.9754941214896073,,
full_primitive_action_effect,0,DDC,0.18554064631462097,0.055573102086782455,,0.8497380408412242,0.8497380408412243
full_primitive_action_effect,0,EP,0.12191303819417953,0.032307833433151245,,,
full_primitive_action_effect,0,TTC,0.20200811326503754,0.10779741406440735,0.9380036694769063,,
full_primitive_action_effect,0,Comfort,0.03230642154812813,0.01484525017440319,0.9988543477261869,,
full_primitive_action_effect,1,NC,0.1191350594162941,0.05610382556915283,0.9647577644510174,,
full_primitive_action_effect,1,DAC,0.0920892134308815,0.05165921151638031,0.983408753533283,,
full_primitive_action_effect,1,DDC,0.1732674241065979,0.05083085596561432,,0.8736697537893368,0.8736697537893369
full_primitive_action_effect,1,EP,0.08993425220251083,0.025871517136693,,,
full_primitive_action_effect,1,TTC,0.1505575180053711,0.08050839602947235,0.957817423804778,,
full_primitive_action_effect,1,Comfort,0.018984833732247353,0.008092944510281086,0.9994805388989227,,
full_primitive_action_effect,2,NC,0.1211342066526413,0.057525068521499634,0.9634172551113288,,
full_primitive_action_effect,2,DAC,0.09267187863588333,0.05023680627346039,0.9842485759111365,,
full_primitive_action_effect,2,DDC,0.1772867739200592,0.05339306965470314,,0.8707015501638053,0.8707015501638055
